year,state,number
2023,north carolina,61.0
2024,north carolina,60.7
1976,north dakota,62.6
1977,north dakota,63.4
1978,north dakota,64.1
1979,north dakota,64.9
1980,north dakota,64.9
1981,north dakota,65.4
1982,north dakota,65.5
1983,north dakota,65.4
1984,north dakota,65.8
1985,north dakota,67.0
1986,north dakota,68.3
1987,north dakota,68.2
1988,north dakota,68.5
1989,north dakota,68.8
1990,north dakota,69.5
1991,north dakota,68.2
1992,north dakota,68.1
1993,north dakota,67.9
1994,north dakota,70.0
1995,north dakota,71.4
1996,north dakota,71.5
1997,north dakota,71.8
1998,north dakota,71.8
1999,north dakota,71.0
2000,north dakota,70.6
2001,north dakota,71.0
2002,north dakota,70.4
2003,north dakota,70.9
2004,north dakota,72.1
2005,north dakota,72.3
2006,north dakota,72.7
2007,north dakota,74.2
2008,north dakota,74.4
2009,north dakota,74.0
2010,north dakota,73.6
2011,north dakota,72.6
2012,north dakota,72.8
2013,north dakota,72.2
2014,north dakota,71.4
2015,north dakota,71.8
2016,north dakota,70.8
2017,north dakota,70.8
2018,north dakota,70.2
2019,north dakota,70.0
2020,north dakota,69.3
2021,north dakota,68.4
2022,north dakota,69.1
2023,north dakota,69.3
2024,north dakota,69.0
1976,ohio,61.7
1977,ohio,61.5
1978,ohio,61.9
1979,ohio,63.9
1980,ohio,63.6
1981,ohio,63.6
1982,ohio,63.5
1983,ohio,63.5
1984,ohio,63.4
1985,ohio,63.6
1986,ohio,64.2
1987,ohio,64.6
1988,ohio,64.5
1989,ohio,65.3
1990,ohio,66.2
1991,ohio,65.5
1992,ohio,65.5
1993,ohio,65.5
1994,ohio,66.1
1995,ohio,65.9
1996,ohio,66.1
1997,ohio,66.5
1998,ohio,66.9
1999,ohio,66.7
2000,ohio,67.4
2001,ohio,67.1
2002,ohio,67.2
2003,ohio,67.1
2004,ohio,66.6
2005,ohio,66.6
2006,ohio,66.7
2007,ohio,67.7
2008,ohio,67.4
2009,ohio,66.6
2010,ohio,65.7
2011,ohio,64.7
2012,ohio,63.6
2013,ohio,63.0
2014,ohio,62.7
2015,ohio,62.8
2016,ohio,62.8
2017,ohio,62.9
2018,ohio,62.6
2019,ohio,63.0
2020,ohio,63.7
2021,ohio,61.4
2022,ohio,61.4
2023,ohio,61.6
2024,ohio,61.8
1976,oklahoma,59.3
1977,oklahoma,59.2
1978,oklahoma,60.4
1979,oklahoma,60.3
1980,oklahoma,61.0
1981,oklahoma,62.4
1982,oklahoma,63.2
1983,oklahoma,63.4
1984,oklahoma,63.5
1985,oklahoma,64.4
1986,oklahoma,65.1
1987,oklahoma,65.0
1988,oklahoma,64.2
1989,oklahoma,63.9
1990,oklahoma,64.9
1991,oklahoma,64.4
1992,oklahoma,63.9
1993,oklahoma,63.3
1994,oklahoma,63.9
1995,oklahoma,63.7
1996,oklahoma,63.6
1997,oklahoma,64.1
1998,oklahoma,64.2
1999,oklahoma,64.7
2000,oklahoma,64.4
2001,oklahoma,64.2
2002,oklahoma,64.9
2003,oklahoma,64.2
2004,oklahoma,64.0
2005,oklahoma,64.3
2006,oklahoma,63.9
2007,oklahoma,63.8
2008,oklahoma,63.2
2009,oklahoma,63.8
2010,oklahoma,63.2
2011,oklahoma,61.7
2012,oklahoma,62.0
2013,oklahoma,61.9
2014,oklahoma,61.1
2015,oklahoma,61.4
2016,oklahoma,61.4
2017,oklahoma,60.9
2018,oklahoma,61.3
2019,oklahoma,61.0
2020,oklahoma,60.9
2021,oklahoma,61.2
2022,oklahoma,61.4
2023,oklahoma,62.3
2024,oklahoma,63.2
1976,oregon,62.9
1977,oregon,63.8
1978,oregon,64.4
1979,oregon,64.9
1980,oregon,64.9
1981,oregon,66.4
1982,oregon,66.1
1983,oregon,67.1
1984,oregon,66.0
1985,oregon,65.6
1986,oregon,65.9
1987,oregon,66.5
1988,oregon,67.3
1989,oregon,68.3
1990,oregon,67.4
1991,oregon,67.9
1992,oregon,67.6
1993,oregon,67.8
1994,oregon,68.7
1995,oregon,68.0
1996,oregon,68.3
1997,oregon,68.4
1998,oregon,68.9
1999,oregon,68.7
2000,oregon,68.7
2001,oregon,68.2
2002,oregon,67.5
2003,oregon,67.2
2004,oregon,66.7
2005,oregon,65.7
2006,oregon,65.1
2007,oregon,65.7
2008,oregon,65.3
2009,oregon,66.0
2010,oregon,65.1
2011,oregon,65.5
2012,oregon,64.5
2013,oregon,62.1
2014,oregon,61.4
2015,oregon,61.4
2016,oregon,62.2
2017,oregon,62.1
2018,oregon,62.1
2019,oregon,61.8
2020,oregon,61.1
2021,oregon,62.1
2022,oregon,62.6
2023,oregon,62.2
2024,oregon,62.5
1976,pennsylvania,58.4
1977,pennsylvania,58.5
1978,pennsylvania,58.9
1979,pennsylvania,59.7
1980,pennsylvania,60.2
1981,pennsylvania,60.1
1982,pennsylvania,59.9
1983,pennsylvania,59.7
1984,pennsylvania,59.6
1985,pennsylvania,60.0
1986,pennsylvania,60.8
1987,pennsylvania,60.4
1988,pennsylvania,61.5
1989,pennsylvania,62.2
1990,pennsylvania,63.6
1991,pennsylvania,63.0
1992,pennsylvania,63.3
1993,pennsylvania,63.3
1994,pennsylvania,63.2
1995,pennsylvania,62.8
1996,pennsylvania,63.1
1997,pennsylvania,64.1
1998,pennsylvania,64.4
1999,pennsylvania,64.3
2000,pennsylvania,64.3
2001,pennsylvania,64.9
2002,pennsylvania,65.0
2003,pennsylvania,64.3
2004,pennsylvania,64.2
2005,pennsylvania,64.5
2006,pennsylvania,64.3
2007,pennsylvania,64.6
2008,pennsylvania,64.9
2009,pennsylvania,65.2
2010,pennsylvania,63.6
2011,pennsylvania,63.1
2012,pennsylvania,63.2
2013,pennsylvania,63.5
2014,pennsylvania,62.7
2015,pennsylvania,62.6
2016,pennsylvania,63.2
2017,pennsylvania,62.7
2018,pennsylvania,62.4
2019,pennsylvania,63.1
2020,pennsylvania,63.1
2021,pennsylvania,62.0
2022,pennsylvania,61.4
2023,pennsylvania,62.0
2024,pennsylvania,62.4
1976,rhode island,63.8
1977,rhode island,63.4
1978,rhode island,63.2
1979,rhode island,63.9
1980,rhode island,65.2
1981,rhode island,65.6
1982,rhode island,65.8
1983,rhode island,65.6
1984,rhode island,65.4
1985,rhode island,66.5
1986,rhode island,66.9
1987,rhode island,67.2
1988,rhode island,67.3
1989,rhode island,67.6
1990,rhode island,67.9
1991,rhode island,67.4
1992,rhode island,67.7
1993,rhode island,67.5
1994,rhode island,66.5
1995,rhode island,65.4
1996,rhode island,65.3
1997,rhode island,66.3
1998,rhode island,66.7
1999,rhode island,66.7
2000,rhode island,67.2
2001,rhode island,66.4
2002,rhode island,65.9
2003,rhode island,67.4
2004,rhode island,66.7
2005,rhode island,66.3
2006,rhode island,67.9
2007,rhode island,68.4
2008,rhode island,68.0
2009,rhode island,67.9
2010,rhode island,67.6
2011,rhode island,67.2
2012,rhode island,66.0
2013,rhode island,66.1
2014,rhode island,65.3
2015,rhode island,65.2
2016,rhode island,64.5
2017,rhode island,64.3
2018,rhode island,64.4
2019,rhode island,64.2
2020,rhode island,64.5
2021,rhode island,63.7
2022,rhode island,63.6
2023,rhode island,63.4
2024,rhode island,63.9
1976,south carolina,65.3
1977,south carolina,64.5
1978,south carolina,64.1
1979,south carolina,63.9
1980,south carolina,62.7
1981,south carolina,63.2
1982,south carolina,63.7
1983,south carolina,64.0
1984,south carolina,62.7
1985,south carolina,63.5
1986,south carolina,64.1
1987,south carolina,65.3
1988,south carolina,65.7
1989,south carolina,65.7
1990,south carolina,66.7
1991,south carolina,66.2
1992,south carolina,66.6
1993,south carolina,66.7
1994,south carolina,66.4
1995,south carolina,66.4
1996,south carolina,65.8
1997,south carolina,66.6
1998,south carolina,65.6
1999,south carolina,66.1
2000,south carolina,64.9
2001,south carolina,64.6
2002,south carolina,62.7
2003,south carolina,63.5
2004,south carolina,64.0
2005,south carolina,64.1
2006,south carolina,64.7
2007,south carolina,65.0
2008,south carolina,62.8
2009,south carolina,62.8
2010,south carolina,61.4
2011,south carolina,60.7
2012,south carolina,60.2
2013,south carolina,59.8
2014,south carolina,58.8
2015,south carolina,59.5
2016,south carolina,59.2
2017,south carolina,58.2
2018,south carolina,57.6
2019,south carolina,58.4
2020,south carolina,57.9
2021,south carolina,57.7
2022,south carolina,57.3
2023,south carolina,57.2
2024,south carolina,57.2
1976,south dakota,64.6
1977,south dakota,65.1
1978,south dakota,65.3
1979,south dakota,66.4
1980,south dakota,66.7
1981,south dakota,67.5
1982,south dakota,66.8
1983,south dakota,66.9
1984,south dakota,66.8
1985,south dakota,67.9
1986,south dakota,68.6
1987,south dakota,68.4
1988,south dakota,68.8
1989,south dakota,69.1
1990,south dakota,70.3
1991,south dakota,69.8
1992,south dakota,70.4
1993,south dakota,70.6
1994,south dakota,70.8
1995,south dakota,71.6
1996,south dakota,71.5
1997,south dakota,71.6
1998,south dakota,71.9
1999,south dakota,72.5
2000,south dakota,72.8
2001,south dakota,73.1
2002,south dakota,72.9
2003,south dakota,73.0
2004,south dakota,73.2
2005,south dakota,72.9
2006,south dakota,72.4
2007,south dakota,72.5
2008,south dakota,71.8
2009,south dakota,71.9
2010,south dakota,70.8
2011,south dakota,71.8
2012,south dakota,71.1
2013,south dakota,70.4
2014,south dakota,69.9
2015,south dakota,70.1
2016,south dakota,69.8
2017,south dakota,69.2
2018,south dakota,69.2
2019,south dakota,69.3
2020,south dakota,69.2
2021,south dakota,68.8
2022,south dakota,68.6
2023,south dakota,68.1
2024,south dakota,67.8
1976,tenessee,59.6
1977,tenessee,60.6
1978,tenessee,60.5
1979,tenessee,61.0
1980,tenessee,61.4
1981,tenessee,61.6
1982,tenessee,60.7
1983,tenessee,61.9
1984,tenessee,62.7
1985,tenessee,62.8
1986,tenessee,63.0
1987,tenessee,63.2
1988,tenessee,63.3
1989,tenessee,62.6
1990,tenessee,63.9
1991,tenessee,63.3
1992,tenessee,63.2
1993,tenessee,64.1
1994,tenessee,65.2
1995,tenessee,67.2
1996,tenessee,66.6
1997,tenessee,66.4
1998,tenessee,65.5
1999,tenessee,66.1
2000,tenessee,65.6
2001,tenessee,65.2
2002,tenessee,64.9
2003,tenessee,65.1
2004,tenessee,64.3
2005,tenessee,62.9
2006,tenessee,63.3
2007,tenessee,64.5
2008,tenessee,63.6
2009,tenessee,63.1
2010,tenessee,62.3
2011,tenessee,62.9
2012,tenessee,62.0
2013,tenessee,61.5
2014,tenessee,59.9
2015,tenessee,59.5
2016,tenessee,59.9
2017,tenessee,60.3
2018,tenessee,60.6
2019,tenessee,61.6
2020,tenessee,61.7
2021,tenessee,60.7
2022,tenessee,60.7
2023,tenessee,59.7
2024,tenessee,59.5
1976,texas,63.8
1977,texas,64.0
1978,texas,65.1
1979,texas,65.7
1980,texas,66.1
1981,texas,66.7
1982,texas,66.9
1983,texas,67.5
1984,texas,67.5
1985,texas,68.9
1986,texas,68.7
1987,texas,68.7
1988,texas,69.1
1989,texas,69.3
1990,texas,67.9
1991,texas,68.4
1992,texas,68.9
1993,texas,68.7
1994,texas,69.3
1995,texas,69.3
1996,texas,69.2
1997,texas,69.2
1998,texas,68.9
1999,texas,69.0
2000,texas,68.8
2001,texas,68.1
2002,texas,67.9
2003,texas,68.1
2004,texas,67.5
2005,texas,67.4
2006,texas,67.0
2007,texas,66.2
2008,texas,65.7
2009,texas,65.8
2010,texas,66.3
2011,texas,65.9
2012,texas,65.6
2013,texas,65.3
2014,texas,65.0
2015,texas,64.2
2016,texas,63.8
2017,texas,63.8
2018,texas,63.8
2019,texas,63.8
2020,texas,64.1
2021,texas,63.3
2022,texas,64.0
2023,texas,64.4
2024,texas,64.1
1976,utah,62.8
1977,utah,63.1
1978,utah,63.1
1979,utah,64.6
1980,utah,65.8
1981,utah,65.5
1982,utah,65.9
1983,utah,66.0
1984,utah,66.4
1985,utah,68.5
1986,utah,69.4
1987,utah,70.0
1988,utah,69.1
1989,utah,70.0
1990,utah,70.8
1991,utah,70.4
1992,utah,70.4
1993,utah,70.8
1994,utah,73.0
1995,utah,73.2
1996,utah,71.8
1997,utah,71.6
1998,utah,72.0
1999,utah,72.6
2000,utah,72.1
2001,utah,72.3
2002,utah,71.3
2003,utah,71.0
2004,utah,71.0
2005,utah,71.5
2006,utah,72.3
2007,utah,73.1
2008,utah,72.6
2009,utah,71.2
2010,utah,68.0
2011,utah,68.0
2012,utah,66.4
2013,utah,66.9
2014,utah,67.4
2015,utah,67.7
2016,utah,68.2
2017,utah,68.6
2018,utah,68.6
2019,utah,68.4
2020,utah,68.4
2021,utah,68.0
2022,utah,68.4
2023,utah,69.1
2024,utah,69.3
1976,vermont,63.6
1977,vermont,63.6
1978,vermont,65.9
1979,vermont,66.6
1980,vermont,66.1
1981,vermont,66.8
1982,vermont,67.9
1983,vermont,67.7
1984,vermont,68.2
1985,vermont,68.9
1986,vermont,70.5
1987,vermont,71.3
1988,vermont,71.1
1989,vermont,71.2
1990,vermont,72.0
1991,vermont,70.9
1992,vermont,71.2
1993,vermont,71.9
1994,vermont,71.3
1995,vermont,71.5
1996,vermont,71.6
1997,vermont,71.7
1998,vermont,71.9
1999,vermont,72.4
2000,vermont,70.8
2001,vermont,70.6
2002,vermont,70.7
2003,vermont,71.0
2004,vermont,71.0
2005,vermont,70.2
2006,vermont,71.0
2007,vermont,71.0
2008,vermont,69.9
2009,vermont,70.7
2010,vermont,70.6
2011,vermont,70.6
2012,vermont,69.5
2013,vermont,68.7
2014,vermont,68.0
2015,vermont,67.8
2016,vermont,67.0
2017,vermont,67.3
2018,vermont,67.1
2019,vermont,66.7
2020,vermont,66.1
2021,vermont,62.0
2022,vermont,63.0
2023,vermont,64.2
2024,vermont,65.1
1976,virginia,65.9
1977,virginia,65.3
1978,virginia,65.8
1979,virginia,66.4
1980,virginia,66.2
1981,virginia,66.0
1982,virginia,66.0
1983,virginia,66.7
1984,virginia,67.0
1985,virginia,68.3
1986,virginia,67.6
1987,virginia,68.3
1988,virginia,68.7
1989,virginia,68.8
1990,virginia,69.0
1991,virginia,70.0
1992,virginia,70.9
1993,virginia,69.9
1994,virginia,69.2
1995,virginia,69.8
1996,virginia,68.2
1997,virginia,67.9
1998,virginia,67.3
1999,virginia,67.8
2000,virginia,68.0
2001,virginia,68.4
2002,virginia,68.4
2003,virginia,68.5
2004,virginia,68.1
2005,virginia,68.0
2006,virginia,68.5
2007,virginia,68.9
2008,virginia,69.4
2009,virginia,69.4
2010,virginia,68.5
2011,virginia,67.4
2012,virginia,67.2
2013,virginia,66.6
2014,virginia,66.3
2015,virginia,65.6
2016,virginia,64.9
2017,virginia,65.4
2018,virginia,65.4
2019,virginia,65.6
2020,virginia,65.8
2021,virginia,63.4
2022,virginia,64.3
2023,virginia,66.1
2024,virginia,66.6
1976,washington,60.9
1977,washington,62.6
1978,washington,63.2
1979,washington,64.9
1980,washington,65.1
1981,washington,64.5
1982,washington,64.0
1983,washington,64.1
1984,washington,64.5
1985,washington,64.4
1986,washington,65.0
1987,washington,66.1
1988,washington,66.8
1989,washington,67.9
1990,washington,68.4
1991,washington,68.1
1992,washington,68.2
1993,washington,68.5
1994,washington,68.1
1995,washington,68.0
1996,washington,68.5
1997,washington,69.2
1998,washington,69.6
1999,washington,69.8
2000,washington,69.4
2001,washington,68.8
2002,washington,67.4
2003,washington,67.3
2004,washington,67.3
2005,washington,67.4
2006,washington,67.6
2007,washington,67.9
2008,washington,68.2
2009,washington,67.8
2010,washington,66.2
2011,washington,65.3
2012,washington,64.5
2013,washington,63.9
2014,washington,63.3
2015,washington,63.3
2016,washington,63.6
2017,washington,63.5
2018,washington,63.8
2019,washington,65.0
2020,washington,66.0
2021,washington,62.4
2022,washington,63.5
2023,washington,64.2
2024,washington,64.1
1976,west virginia,52.5
1977,west virginia,51.2
1978,west virginia,51.8
1979,west virginia,52.6
1980,west virginia,53.1
1981,west virginia,53.6
1982,west virginia,53.0
1983,west virginia,52.2
1984,west virginia,51.4
1985,west virginia,51.9
1986,west virginia,51.1
1987,west virginia,51.2
1988,west virginia,51.4
1989,west virginia,51.7
1990,west virginia,55.3
1991,west virginia,55.3
1992,west virginia,55.6
1993,west virginia,55.2
1994,west virginia,55.0
1995,west virginia,54.8
1996,west virginia,54.9
1997,west virginia,55.1
1998,west virginia,55.2
1999,west virginia,55.6
2000,west virginia,55.9
2001,west virginia,56.1
2002,west virginia,55.9
2003,west virginia,55.5
2004,west virginia,55.1
2005,west virginia,55.1
2006,west virginia,55.6
2007,west virginia,55.8
2008,west virginia,55.8
2009,west virginia,55.8
2010,west virginia,55.5
2011,west virginia,54.4
2012,west virginia,54.3
2013,west virginia,54.1
2014,west virginia,53.7
2015,west virginia,53.5
2016,west virginia,53.4
2017,west virginia,53.2
2018,west virginia,53.9
2019,west virginia,54.5
2020,west virginia,55.0
2021,west virginia,53.6
2022,west virginia,54.2
2023,west virginia,54.5
2024,west virginia,55.3
1976,wisconsin,65.6
1977,wisconsin,65.9
1978,wisconsin,66.3
1979,wisconsin,67.5
1980,wisconsin,67.8
1981,wisconsin,67.6
1982,wisconsin,67.8
1983,wisconsin,68.5
1984,wisconsin,67.6
1985,wisconsin,67.3
1986,wisconsin,67.2
1987,wisconsin,68.5
1988,wisconsin,69.1
1989,wisconsin,70.8
1990,wisconsin,70.7
1991,wisconsin,70.9
1992,wisconsin,70.7
1993,wisconsin,71.6
1994,wisconsin,72.9
1995,wisconsin,73.4
1996,wisconsin,73.7
1997,wisconsin,73.7
1998,wisconsin,74.4
1999,wisconsin,73.3
2000,wisconsin,73.1
2001,wisconsin,73.3
2002,wisconsin,72.6
2003,wisconsin,72.5
2004,wisconsin,71.9
2005,wisconsin,70.7
2006,wisconsin,70.7
2007,wisconsin,71.1
2008,wisconsin,70.7
2009,wisconsin,70.9
2010,wisconsin,69.7
2011,wisconsin,69.1
2012,wisconsin,68.7
2013,wisconsin,68.4
2014,wisconsin,68.0
2015,wisconsin,67.9
2016,wisconsin,68.2
2017,wisconsin,67.9
2018,wisconsin,67.6
2019,wisconsin,66.9
2020,wisconsin,66.3
2021,wisconsin,66.2
2022,wisconsin,65.8
2023,wisconsin,65.4
2024,wisconsin,65.9
1976,wyoming,65.3
1977,wyoming,66.5
1978,wyoming,68.6
1979,wyoming,69.5
1980,wyoming,70.2
1981,wyoming,70.8
1982,wyoming,70.6
1983,wyoming,71.1
1984,wyoming,70.2
1985,wyoming,70.8
1986,wyoming,70.5
1987,wyoming,69.9
1988,wyoming,69.1
1989,wyoming,69.2
1990,wyoming,72.4
1991,wyoming,71.4
1992,wyoming,70.8
1993,wyoming,70.0
1994,wyoming,70.7
1995,wyoming,70.8
1996,wyoming,70.3
1997,wyoming,70.1
1998,wyoming,70.4
1999,wyoming,71.3
2000,wyoming,71.1
2001,wyoming,71.6
2002,wyoming,71.1
2003,wyoming,71.2
2004,wyoming,71.3
2005,wyoming,71.1
2006,wyoming,71.6
2007,wyoming,72.2
2008,wyoming,72.2
2009,wyoming,71.9
2010,wyoming,71.6
2011,wyoming,69.5
2012,wyoming,69.1
2013,wyoming,67.7
2014,wyoming,67.3
2015,wyoming,67.1
2016,wyoming,66.9
2017,wyoming,66.1
2018,wyoming,65.6
2019,wyoming,65.6
2020,wyoming,65.9
2021,wyoming,64.4
2022,wyoming,63.3
2023,wyoming,64.2
2024,wyoming,63.3
