1976,wyoming,65.3
1977,wyoming,66.5
1978,wyoming,68.6
1979,wyoming,69.5
1980,wyoming,70.2
1981,wyoming,70.8
1982,wyoming,70.6
1983,wyoming,71.1
1984,wyoming,70.2
1985,wyoming,70.8
1986,wyoming,70.5
1987,wyoming,69.9
1988,wyoming,69.1
1989,wyoming,69.2
1990,wyoming,72.4
1991,wyoming,71.4
1992,wyoming,70.8
1993,wyoming,70.0
1994,wyoming,70.7
1995,wyoming,70.8
1996,wyoming,70.3
1997,wyoming,70.1
1998,wyoming,70.4
1999,wyoming,71.3
2000,wyoming,71.1
2001,wyoming,71.6
2002,wyoming,71.1
2003,wyoming,71.2
2004,wyoming,71.3
2005,wyoming,71.1
2006,wyoming,71.6
2007,wyoming,72.2
2008,wyoming,72.2
2009,wyoming,71.9
2010,wyoming,71.6
2011,wyoming,69.5
2012,wyoming,69.1
2013,wyoming,67.7
2014,wyoming,67.3
2015,wyoming,67.1
2016,wyoming,66.9
2017,wyoming,66.1
2018,wyoming,65.6
2019,wyoming,65.6
2020,wyoming,65.9
2021,wyoming,64.4
2022,wyoming,63.3
2023,wyoming,64.2
2024,wyoming,63.3
